80058cc4	224	GsSortObject4
80058da4	248	OBJT2_OBJ_E0
80058e9c	116	OBJT2_OBJ_1D8
80058f10	68	OBJT2_OBJ_24C
80058f54	200	OBJT2_OBJ_290
8005901c	100	OBJT2_OBJ_358
80059080	172	OBJT2_OBJ_3BC
8005912c	68	OBJT2_OBJ_468
80059170	172	OBJT2_OBJ_4AC
8005921c	104	OBJT2_OBJ_558
80059284	44	OBJT2_OBJ_5C0
800592b0	40	OBJT2_OBJ_5EC
800592d8	4	OBJT2_OBJ_614
800592dc	40	OBJT2_OBJ_618
80059304	44	OBJT2_OBJ_640
80059330	48	OBJT2_OBJ_66C
80059360	80	OBJT2_OBJ_69C
800593b0	84	OBJT2_OBJ_6EC
80059404	80	OBJT2_OBJ_740
80059454	44	OBJT2_OBJ_790
80059480	40	OBJT2_OBJ_7BC
800594a8	84	OBJT2_OBJ_7E4
800594fc	4	OBJT2_OBJ_838
80059500	12	OBJT2_OBJ_83C
8005950c	16	OBJT2_OBJ_848
8005951c	56	OBJT2_OBJ_858
80059554	1280	DEAD_80059554
80059a54	1228	FUN_80059a54
80059f20	304	FUN_80059f20
8005a050	444	FUN_8005a050
8005a20c	232	FUN_8005a20c
8005a2f4	1280	DEAD_8005a2f4
8005a7f4	1228	FUN_8005a7f4
8005acc0	304	FUN_8005acc0
8005adf0	444	FUN_8005adf0
8005afac	232	FUN_8005afac
8005b094	1068	DEAD_8005b094
8005b4c0	1228	FUN_8005b4c0
8005b98c	304	FUN_8005b98c
8005babc	444	FUN_8005babc
8005bc78	232	FUN_8005bc78
8005bd60	1136	DEAD_8005bd60
8005c1d0	1228	FUN_8005c1d0
8005c69c	304	FUN_8005c69c
8005c7cc	444	FUN_8005c7cc
8005c988	232	FUN_8005c988
8005ca70	1088	DEAD_8005ca70
8005ceb0	1120	FUN_8005ceb0
8005d310	280	FUN_8005d310
8005d428	444	FUN_8005d428
8005d5e4	148	FUN_8005d5e4
8005d678	1096	DEAD_8005d678
8005dac0	1120	FUN_8005dac0
8005df20	280	FUN_8005df20
8005e038	444	FUN_8005e038
8005e1f4	148	FUN_8005e1f4
8005e288	1060	DEAD_8005e288
8005e6ac	1120	FUN_8005e6ac
8005eb0c	280	FUN_8005eb0c
8005ec24	444	FUN_8005ec24
8005ede0	148	FUN_8005ede0
8005ee74	1032	DEAD_8005ee74
8005f27c	1120	FUN_8005f27c
8005f6dc	280	FUN_8005f6dc
8005f7f4	444	FUN_8005f7f4
8005f9b0	148	FUN_8005f9b0
8005fa44	1128	DEAD_8005fa44
8005feac	1120	FUN_8005feac
8006030c	248	FUN_8006030c
80060404	444	FUN_80060404
