#addr	size	name	source	provenance
0x80024194	48	print_vector	main	-
0x800241d8	120	GsDefDispBuff	main	-
0x80024278	116	GsInit3D	main	-
0x800242f8	112	GsMapModelingData	main	-
0x80024388	1092	GsSetFlatLight	main	-
0x800247cc	116	GS_107_OBJ_444	main	-
0x80024840	100	GS_107_OBJ_4B8	main	-
0x800248a4	76	GS_107_OBJ_51C	main	-
0x800248f8	96	GsSetLightMode	main	-
0x80024978	76	GsSetFogParam	main	-
0x800249c8	40	GsSetAmbient	main	-
0x800249f8	36	GsDrawOt	main	-
0x80024a28	88	GsClearOt	main	-
0x80024a88	76	gte_init	main	-
0x80024ad8	220	GsGetTimInfo	main	-
0x80024bc8	124	Gssub_make_matrix	main	-
0x80024cb8	976	GsSetRefView2	main	-
0x80025088	212	GS_131_OBJ_3D0	main	-
0x80025174	200	GS_131_OBJ_4BC	main	-
0x80025258	180	gte_rotate_z_matrix	main	-
0x80025534	156	GS_133_OBJ_21C	main	-
0x800257f4	172	GS_134_OBJ_21C	main	-
0x800258a8	204	GsLinkObject4	main	-
0x800259ec	64	OBJT_OBJ_144	main	-
0x80025a38	224	GsSortObject4	main	-
0x80025b18	248	OBJT2_OBJ_E0	main	-
0x80025c10	116	switchD_80068cc4__caseD_20	main	-
0x80025cc8	200	switchD_80068cc4__caseD_30	main	-
0x80025d90	100	switchD_80068cc4__caseD_34	main	-
0x80025df4	172	switchD_80068cc4__caseD_28	main	-
0x80025ee4	172	switchD_80068cc4__caseD_38	main	-
0x80025f90	104	switchD_80068cc4__caseD_3c	main	-
0x80025ff8	44	switchD_80068cc4__caseD_21	main	-
0x80026050	40	OBJT2_OBJ_618	main	-
0x800260a4	48	OBJT2_OBJ_66C	main	-
0x80026124	84	switchD_80068cc4__caseD_35	main	-
0x800261f4	40	OBJT2_OBJ_7BC	main	-
0x8002621c	84	switchD_80068cc4__caseD_3d	main	-
0x80026290	56	OBJT2_OBJ_858	main	-
0x800262c8	508	GsTMDfastG3GL	demo	ghidra
0x800264c8	508	GsTMDfastG3GLFG	demo	ghidra
0x800266c8	356	GsTMDfastG3GNL	demo	ghidra
0x80026838	532	GsTMDfastF3GL	demo	ghidra
0x80026a58	532	GsTMDfastF3GLFG	demo	ghidra
0x80026c78	376	GsTMDfastF3GNL	demo	ghidra
0x80026df8	656	GsTMDfastF4GL	demo	ghidra
0x800274e8	632	GsTMDfastG4GL	demo	ghidra
0x80027768	632	GsTMDfastG4GLFG	demo	ghidra
0x800279e8	440	GsTMDfastG4GNL	demo	ghidra
0x80027ba8	136	SsEnd	main	-
0x80027c30	36	SSEND_OBJ_88	main	-
0x80027c58	56	SsInit	main	-
0x80027c98	232	_SsInit	main	-
0x80027da8	192	SsSetSerialAttr	main	-
0x80027e68	80	SsSetMVol	main	-
0x80027eb8	192	SSSTART_OBJ_0	main	-
0x80027f78	176	SSSTART_OBJ_C0	main	-
