#addr	size	name	source	provenance
0x8002b334	128	StUnSetRing	demo	ghidra
0x8002b3d4	140	data_ready_callback	demo	ghidra
0x8002b460	88	StGetBackloc	demo	ghidra
0x8002b4c4	132	StSetStream	demo	ghidra
0x8002b554	172	StFreeRing	demo	ghidra
0x8002c214	796	FUN_80063b94	main	-
0x8002c530	416	GsInitFixBg16	main	-
0x8002c6f4	452	GsSortPoly	main	-
0x8002c8c4	152	_make_packet	main	-
0x8002c964	576	GsSortSprite	main	-
0x8002cba4	328	_2D_SP0_OBJ_240	main	-
0x8002ccec	64	_2D_SP0_OBJ_388	main	-
0x8002cd2c	248	_2D_SP0_OBJ_3C8	main	-
0x8002ce24	56	_2D_SP0_OBJ_4C0	main	-
0x8002ce64	116	GsInitGraph	main	-
0x8002ced8	284	GS_001_OBJ_74	main	-
0x8002cff4	104	GsInitGraph2	main	-
0x8002d05c	544	GS_001_OBJ_1F8	main	-
0x8002d27c	264	GsSortClear	main	-
0x8002d384	48	GS_001_OBJ_520	main	-
0x8002d3c4	244	GsSetDrawBuffOffset	main	-
0x8002d4d4	120	GsSetDrawBuffClip	main	-
0x8002d554	164	GsSwapDispBuff	main	-
0x8002d604	112	GsInitCoordinate2	main	-
0x8002d674	44	GsInitCoord2param	main	-
0x8002d6cc	148	GsSetLightMatrix	main	-
0x8002d760	48	GsSetLightMatrix2	main	-
0x8002d790	144	GsMulCoord0	main	-
0x8002d820	128	GsMulCoord2	main	-
0x8002d8a0	128	GsMulCoord3	main	-
0x8002d920	112	print_matrix	main	-
0x8002d990	48	print_vector	main	-
0x8002d9d4	120	GsDefDispBuff	main	-
0x8002da74	116	GsInit3D	main	-
0x8002daf4	112	GsMapModelingData	main	-
0x8002db84	1092	GsSetFlatLight	main	-
0x8002dfc8	116	GS_107_OBJ_444	main	-
0x8002e03c	100	GS_107_OBJ_4B8	main	-
0x8002e0a0	76	GS_107_OBJ_51C	main	-
0x8002e0f4	96	GsSetLightMode	main	-
0x8002e174	76	GsSetFogParam	main	-
0x8002e1c4	40	GsSetAmbient	main	-
0x8002e1f4	36	GsDrawOt	main	-
0x8002e224	88	GsClearOt	main	-
0x8002e284	76	gte_init	main	-
0x8002e2d4	220	GsGetTimInfo	main	-
0x8002e3c4	124	Gssub_make_matrix	main	-
0x8002e4b4	976	GsSetRefView2	main	-
0x8002e884	212	GS_131_OBJ_3D0	main	-
0x8002e970	200	GS_131_OBJ_4BC	main	-
0x8002ea54	180	gte_rotate_z_matrix	main	-
0x8002ed30	156	GS_133_OBJ_21C	main	-
0x8002eff0	172	GS_134_OBJ_21C	main	-
0x8002f0a4	204	GsLinkObject4	main	-
0x8002f1e8	64	OBJT_OBJ_144	main	-
0x8002f234	224	GsSortObject4	main	-
0x8002f314	248	OBJT2_OBJ_E0	main	-
0x8002f40c	116	switchD_80068cc4__caseD_20	main	-
0x8002f4c4	200	switchD_80068cc4__caseD_30	main	-
0x8002f58c	100	switchD_80068cc4__caseD_34	main	-
0x8002f5f0	172	switchD_80068cc4__caseD_28	main	-
0x8002f6e0	172	switchD_80068cc4__caseD_38	main	-
0x8002f78c	104	switchD_80068cc4__caseD_3c	main	-
0x8002f7f4	44	switchD_80068cc4__caseD_21	main	-
0x8002f84c	40	OBJT2_OBJ_618	main	-
0x8002f8a0	48	OBJT2_OBJ_66C	main	-
0x8002f920	84	switchD_80068cc4__caseD_35	main	-
0x8002f9f0	40	OBJT2_OBJ_7BC	main	-
0x8002fa18	84	switchD_80068cc4__caseD_3d	main	-
0x8002fa8c	56	OBJT2_OBJ_858	main	-
0x8002fac4	508	GsTMDfastG3GL	demo	ghidra
0x8002fcc4	508	GsTMDfastG3GLFG	demo	ghidra
0x8002fec4	356	GsTMDfastG3GNL	demo	ghidra
0x80030034	532	GsTMDfastF3GL	demo	ghidra
0x80030254	532	GsTMDfastF3GLFG	demo	ghidra
0x80030474	376	GsTMDfastF3GNL	demo	ghidra
0x800305f4	656	GsTMDfastF4GL	demo	ghidra
0x80030ce4	632	GsTMDfastG4GL	demo	ghidra
0x80030f64	632	GsTMDfastG4GLFG	demo	ghidra
0x800311e4	440	GsTMDfastG4GNL	demo	ghidra
0x800313a4	136	SsEnd	main	-
0x8003142c	36	SSEND_OBJ_88	main	-
0x80031454	56	SsInit	main	-
0x80031494	232	_SsInit	main	-
