#addr	size	name
0x80038244	556	DrawFrame
0x80038470	876	SetBleedsDir
0x800387dc	2328	FUN_800387dc
0x800390f4	832	FUN_800390f4
0x80039434	580	DrawFlyWire
0x80039678	984	SetFlyWire
0x80039a50	1488	SetWire
0x8003a020	896	FUN_8003a020
0x8003a3a0	520	death_camera_something_
0x8003a5a8	1120	DrawShadow
0x8003aa08	632	DrawAfterimage
0x8003ac80	416	FadeOutDirect
0x8003ae20	212	FUN_8003ae20
0x8003aef4	376	FUN_8003aef4
0x8003b06c	68	DisposeAfterimage
0x8003b0b0	260	SetupAfterimage
0x8003b1b4	8	FUN_8003b1b4
0x8003b1bc	16	FUN_8003b1bc
0x8003b1cc	196	SetFrame
0x8003b290	8	FUN_8003b290
0x8003b298	196	SetSplash
0x8003b35c	244	SetBleed
0x8003b450	248	FUN_8003b450
0x8003b548	8	FUN_8003b548
0x8003b550	204	DrawTarget
0x8003b61c	116	GetScreenPositionS
0x8003b690	60	PrepareGetScreenPositionS
0x8003b6cc	156	GetScreenPosition
0x8003b768	172	GetVectorRotation
0x8003b814	316	GetVectorDistance
0x8003b950	288	GetVectorLength
0x8003ba70	172	RotateVectorS
0x8003bb1c	172	RotateVector
0x8003bbc8	88	DrawEffect
0x8003bc20	64	FUN_8003bc20
0x8003bc60	392	CGetLevel
0x8003bde8	468	FUN_8003bde8
0x8003bfbc	408	FUN_8003bfbc
0x8003c154	352	FUN_8003c154
0x8003c2b4	256	DrawSpriteXYZ
0x8003c3b4	728	SearchItemTarget2
0x8003c68c	184	PackItemLayout
0x8003c744	324	InitializeItem
0x8003c888	1536	MoveKorogari
0x8003ce88	488	MoveFly
0x8003d070	664	SetupFly
0x8003d308	1112	ProcItemDrop
0x8003d760	472	ReqItemDrop
0x8003d938	1056	ProcSightShot
0x8003dd58	744	ProcKaginawa
0x8003e040	620	ProcItemMakibishi
0x8003e2ac	444	ReqItemMakibishi
0x8003e468	1432	ProcItemKusuri
0x8003ea00	372	ReqItemManebue
0x8003eb74	812	ProcItemGun
0x8003eea0	364	ReqItemGun
0x8003f00c	1672	ProcItemNapalm
0x8003f694	1012	ProcItemLaunch
0x8003fa88	440	UpdateItemState
0x8003fc40	324	ReqItemDefault
0x8003fd84	480	ReqItemLaunch
0x8003ff64	636	ArrangeLocalMatrix
0x800401e0	1328	ProcItemArrow
0x80040710	488	ReqItemArrow
0x800408f8	4724	FUN_800408f8
0x80041b6c	424	TurnAroundAllItems
0x80041d14	204	DoItemProc
0x80041de0	32	FUN_80041de0
0x80041e00	16	FUN_80041e00
0x80041e10	24	FUN_80041e10
0x80041e28	132	ReqItemStay
0x80041eac	128	FUN_80041eac
0x80041f2c	76	GetItemType
0x80041f78	228	GetFreeItemSlot
0x8004205c	152	ClearItemLayout
0x800420f4	240	ReqLifeBar
0x800421e4	212	FUN_800421e4
0x800422b8	344	FUN_800422b8
0x80042410	584	PutStrain
0x80042658	540	PutLifeBar
0x80042874	144	PutLifeBarS
0x80042904	504	PutItemList
0x80042afc	440	FUN_80042afc
0x80042cb4	540	FUN_80042cb4
0x80042ed0	384	FUN_80042ed0
0x80043050	40	FUN_80043050
0x80043078	80	PutItemCursor
0x800430c8	84	PutItemIcon
0x8004311c	176	PutNumber
0x800431cc	360	InitMisc
0x80043334	588	FUN_80043334
0x80043580	412	FUN_80043580
0x8004371c	1076	ProcMiscDoor
0x80043b50	868	ProcMiscPitfall
0x80043eb4	620	ProcMiscSnowfall
0x80044120	532	AddMisc
0x80044334	452	DoMiscProc
0x800444f8	92	ResetAllMisc
0x80044554	356	ProcMiscFire
0x800446b8	416	FUN_800446b8
0x80044858	252	ProcMiscSprite
0x80044954	3624	FUN_80044954
0x8004577c	4160	FUN_8004577c
0x800467bc	864	FUN_800467bc
0x80046b1c	540	FUN_80046b1c
0x80046d38	364	FUN_80046d38
0x80046ea4	436	FUN_80046ea4
0x80047058	376	FUN_80047058
0x800471d0	1248	FUN_800471d0
0x800476b0	628	FUN_800476b0
0x80047924	440	calculate_score
0x80047adc	144	FUN_80047adc
