#addr	size	name
0x800389f4	40	FUN_800389f4
0x80038a1c	24	FUN_80038a1c
0x80038a34	16	FUN_80038a34
0x80038a44	16	FUN_80038a44
0x80038a54	16	FUN_80038a54
0x80038a64	16	FUN_80038a64
0x80038a74	16	FUN_80038a74
0x80038a84	16	FUN_80038a84
0x80038a94	16	FUN_80038a94
0x80038aa4	16	FUN_80038aa4
0x80038ab4	16	FUN_80038ab4
0x80038ac4	16	FUN_80038ac4
0x80038ad4	16	FUN_80038ad4
0x80038ae4	2192	sprintf
0x80039374	16	FUN_80039374
0x80039384	112	memmove
0x800393f4	60	rsin
0x80039430	148	sin_1
0x800394c4	168	rcos
0x8003956c	136	InitGeom
0x800395f4	144	SquareRoot0
0x80039684	272	MulMatrix0
0x80039794	352	ApplyMatrixLV
0x800398f4	164	PushMatrix
0x80039998	172	PopMatrix
0x80039a44	272	MulMatrix
0x80039b54	272	MulMatrix2
0x80039c64	48	TransMatrix
0x80039c94	320	ScaleMatrix
0x80039dd4	48	SetRotMatrix
0x80039e04	48	SetLightMatrix
0x80039e34	48	SetColorMatrix
0x80039e64	80	SetTransMatrix
0x80039eb4	200	SetVertexTri
0x80039f7c	12	FUN_80039f7c
0x80039f88	12	FUN_80039f88
0x80039f94	16	FUN_80039f94
0x80039fa4	32	SetBackColor
0x80039fc4	32	SetFarColor
0x80039fe4	32	FUN_80039fe4
0x8003a004	16	FUN_8003a004
0x8003a014	48	RotTransPers
0x8003a044	48	RotTrans
0x8003a074	128	RotTransPers4
0x8003a0f4	64	TransposeMatrix
0x8003a134	100	RotMatrix
0x8003a198	104	FGO_01_OBJ_64
0x8003a200	148	FGO_01_OBJ_CC
0x8003a294	304	FGO_01_OBJ_160
0x8003a3c4	104	RotMatrixYXZ
0x8003a42c	100	FGO_02_OBJ_68
0x8003a490	148	FGO_02_OBJ_CC
0x8003a524	304	FGO_02_OBJ_160
0x8003a654	316	GsTMDfastNF3
0x8003a790	320	GsTMDfastF3NL
0x8003a8d0	328	GsTMDfastF3L
0x8003aa18	332	GsTMDfastF3LFG
0x8003ab64	360	GsTMDfastNF4
0x8003accc	364	GsTMDfastF4NL
0x8003ae38	376	GsTMDfastF4L
0x8003afb0	388	GsTMDfastF4LFG
0x8003b134	328	GsTMDfastNG3
0x8003b27c	320	GsTMDfastG3NL
0x8003b3bc	400	GsTMDfastG3L
0x8003b54c	408	GsTMDfastG3LFG
0x8003b6e4	384	GsTMDfastNG4
0x8003b864	372	GsTMDfastG4NL
0x8003b9d8	480	GsTMDfastG4L
0x8003bbb8	492	GsTMDfastG4LFG
0x8003bda4	364	GsTMDfastTNF3
0x8003bf10	356	GsTMDfastTF3NL
0x8003c074	368	GsTMDfastTF3L
0x8003c1e4	368	GsTMDfastTF3LFG
0x8003c354	416	GsTMDfastTNF4
0x8003c4f4	412	GsTMDfastTF4NL
0x8003c690	428	GsTMDfastTF4L
0x8003c83c	440	GsTMDfastTF4LFG
0x8003c9f4	376	GsTMDfastTNG3
0x8003cb6c	348	GsTMDfastTG3NL
0x8003ccc8	436	GsTMDfastTG3L
0x8003ce7c	440	GsTMDfastTG3LFG
0x8003d034	444	GsTMDfastTNG4
0x8003d1f0	408	GsTMDfastTG4NL
0x8003d388	524	GsTMDfastTG4L
0x8003d594	1104	GsTMDfastTG4LFG
0x8003d9e4	32	FUN_8003d9e4
0x8003da04	784	FUN_8003da04
0x8003dd14	704	FUN_8003dd14
0x8003dfd4	1608	FUN_8003dfd4
0x8003e61c	36	FUN_8003e61c
0x8003e640	72	FUN_8003e640
0x8003e688	32	FUN_8003e688
0x8003e6a8	188	FUN_8003e6a8
0x8003e764	3440	FUN_8003e764
0x8003f4d4	4320	FUN_8003f4d4
0x800405b4	32	FUN_800405b4
0x800405d4	9344	FUN_800405d4
0x80042a54	712	FUN_80042a54
0x80042d1c	792	FUN_80042d1c
0x80043034	88	FUN_80043034
0x8004308c	884	FUN_8004308c
0x80043400	140	FUN_80043400
0x8004348c	932	FUN_8004348c
0x80043830	108	FUN_80043830
0x8004389c	1028	FUN_8004389c
0x80043ca0	156	FUN_80043ca0
0x80043d3c	1056	FUN_80043d3c
0x8004415c	96	FUN_8004415c
0x800441bc	1160	FUN_800441bc
0x80044644	152	FUN_80044644
0x800446dc	1236	FUN_800446dc
0x80044bb0	124	FUN_80044bb0
0x80044c2c	1380	FUN_80044c2c
0x80045190	180	FUN_80045190
0x80045244	224	_patch_gte
0x80045324	16	FUN_80045324
0x80045334	376	VSync
0x800454ac	152	VSYNC_OBJ_178
0x80045544	16	FUN_80045544
0x80045554	48	FUN_80045554
0x80045584	48	FUN_80045584
0x800455b4	48	FUN_800455b4
0x800455e4	52	VSyncCallback
0x80045618	48	FUN_80045618
0x80045648	96	FUN_80045648
0x800456a8	40	FUN_800456a8
0x800456d0	24	FUN_800456d0
0x800456e8	216	INTR_OBJ_194
0x800457c0	464	INTR_OBJ_26C
0x80045990	328	INTR_OBJ_43C
0x80045ad8	160	INTR_OBJ_584
0x80045b78	120	INTR_OBJ_624
0x80045bf0	44	FUN_80045bf0
0x80045c1c	24	FUN_80045c1c
0x80045c34	16	FUN_80045c34
0x80045c44	16	FUN_80045c44
0x80045c54	16	FUN_80045c54
0x80045c64	16	FUN_80045c64
0x80045c74	88	startIntrVSync
0x80045ccc	108	INTR_VB_OBJ_58
0x80045d38	44	INTR_VB_OBJ_C4
0x80045d64	48	FUN_80045d64
0x80045d94	76	startIntrDMA
0x80045de0	384	INTR_DMA_OBJ_4C
0x80045f60	172	INTR_DMA_OBJ_1CC
0x8004600c	60	FUN_8004600c
0x80046048	28	FUN_80046048
0x80046064	332	LoadTPage
0x800461b0	100	FUN_800461b0
0x80046214	180	SetDefDrawEnv
0x800462c8	60	SetDefDispEnv
0x80046304	64	SetDumpFnt
0x80046344	160	FntLoad
0x800463e4	696	FntOpen
0x8004669c	796	FntFlush
0x800469b8	972	FntPrint
0x80046d84	372	ResetGraph
0x80046ef8	92	SetGraphDebug
0x80046f54	180	SetGraphQueue
0x80047008	96	DrawSyncCallback
0x80047068	152	SetDispMask
0x80047100	104	DrawSync
0x80047168	284	init_GsImage_storage_
0x80047284	144	ClearImage
0x80047314	152	ClearImage2
0x800473ac	96	FUN_800473ac
0x8004740c	96	FUN_8004740c
0x8004746c	184	MoveImage
0x80047524	200	ClearOTag
0x800475ec	172	ClearOTagR
0x80047698	92	DrawPrim
0x800476f4	112	DrawOTag
0x80047764	192	PutDrawEnv
0x80047824	216	DrawOTagEnv
0x800478fc	52	FUN_800478fc
0x80047930	1272	PutDispEnv
0x80047e28	52	FUN_80047e28
0x80047e5c	48	GetODE
0x80047e8c	56	SetTexWindow
0x80047ec4	128	SetDrawArea
0x80047f44	64	SetDrawOffset
0x80047f84	40	SetPriority
0x80047fac	40	SetDrawStp
0x80047fd4	84	SetDrawMode
0x80048028	504	SetDrawEnv
0x80048220	624	FUN_80048220
0x80048490	32	FUN_80048490
0x800484b0	152	FUN_800484b0
0x80048548	152	FUN_80048548
0x800485e0	28	FUN_800485e0
0x800485fc	152	FUN_800485fc
0x80048694	224	FUN_80048694
0x80048774	560	FUN_80048774
