#addr	size	name
0x80022870	424	FUN_80022870
0x80022a18	796	FUN_80022a18
0x80022d34	452	GsInitFixBg16
0x80022ef8	464	GsSortPoly
0x800230c8	160	_make_packet
0x80023168	1280	GsSortSprite
0x80023668	116	GsInitGraph
0x800236dc	284	GS_001_OBJ_74
0x800237f8	104	GsInitGraph2
0x80023860	544	GS_001_OBJ_1F8
0x80023a80	264	GsSortClear
0x80023b88	64	GS_001_OBJ_520
0x80023bc8	272	GsSetDrawBuffOffset
0x80023cd8	128	GsSetDrawBuffClip
0x80023d58	176	GsSwapDispBuff
0x80023e08	112	GsInitCoordinate2
0x80023e78	44	GsInitCoord2param
0x80023ea4	44	FUN_80023ea4
0x80023ed0	148	GsSetLightMatrix
0x80023f64	48	GsSetLightMatrix2
0x80023f94	144	GsMulCoord0
0x80024024	128	GsMulCoord2
0x800240a4	128	GsMulCoord3
0x80024124	112	print_matrix
0x80024194	52	print_vector
0x800241c8	16	FUN_800241c8
0x800241d8	160	GsDefDispBuff
0x80024278	128	GsInit3D
0x800242f8	112	GsMapModelingData
0x80024368	32	FUN_80024368
0x80024388	1208	GsSetFlatLight
0x80024840	100	GS_107_OBJ_4B8
0x800248a4	84	GS_107_OBJ_51C
0x800248f8	128	GsSetLightMode
0x80024978	80	GsSetFogParam
0x800249c8	48	GsSetAmbient
0x800249f8	48	GsDrawOt
0x80024a28	96	GsClearOt
0x80024a88	80	gte_init
0x80024ad8	240	GsGetTimInfo
0x80024bc8	208	Gssub_make_matrix
0x80024c98	16	FUN_80024c98
0x80024ca8	16	FUN_80024ca8
0x80024cb8	976	GsSetRefView2
0x80025088	236	GS_131_OBJ_3D0
0x80025174	200	GS_131_OBJ_4BC
0x8002523c	28	FUN_8002523c
0x80025258	192	gte_rotate_z_matrix
0x80025318	540	FUN_80025318
0x80025534	164	GS_133_OBJ_21C
0x800255d8	540	FUN_800255d8
0x800257f4	180	GS_134_OBJ_21C
0x800258a8	400	GsLinkObject4
0x80025a38	2192	GsSortObject4
0x800262c8	512	GsTMDfastG3GL
0x800264c8	512	GsTMDfastG3GLFG
0x800266c8	368	GsTMDfastG3GNL
0x80026838	544	GsTMDfastF3GL
0x80026a58	544	GsTMDfastF3GLFG
0x80026c78	384	GsTMDfastF3GNL
0x80026df8	1776	GsTMDfastF4GL
0x800274e8	640	GsTMDfastG4GL
0x80027768	640	GsTMDfastG4GLFG
0x800279e8	448	GsTMDfastG4GNL
0x80027ba8	176	SsEnd
0x80027c58	64	SsInit
0x80027c98	240	_SsInit
0x80027d88	32	FUN_80027d88
0x80027da8	192	SsSetSerialAttr
0x80027e68	80	SsSetMVol
0x80027eb8	560	SSSTART_OBJ_0
0x800280e8	64	SsStart
0x80028128	76	SSSTART_OBJ_270
0x80028174	84	SSSTART_OBJ_2BC
